GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	TAXON ID	GENE_PRODUCT_NAME	GO ASPECT
UniProtKB	A0A075F932	SYT1	involved_in	GO:0007269	neurotransmitter secretion	8845	Synaptotagmin-1	P
UniProtKB	A0A075F932	SYT1	part_of	GO:0008021	synaptic vesicle	8845	Synaptotagmin-1	C
UniProtKB	A0A075F932	SYT1	part_of	GO:0030672	synaptic vesicle membrane	8845	Synaptotagmin-1	C
UniProtKB	A0A075F932	SYT1	part_of	GO:0008021	synaptic vesicle	8845	Synaptotagmin-1	C
UniProtKB	A0A0R4IES7	si:ch211-233a24.2	involved_in	GO:0048488	synaptic vesicle endocytosis	7955	Transmembrane protein KIAA1109 homolog	P
UniProtKB	A0A0R4IES7	si:ch211-233a24.2	part_of	GO:0098793	presynapse	7955	Transmembrane protein KIAA1109 homolog	C
UniProtKB	A0PA85	GAD1	part_of	GO:0048786	presynaptic active zone	9615	Glutamate decarboxylase 1	C
UniProtKB	A0PA85	GAD1	part_of	GO:0043679	axon terminus	9615	Glutamate decarboxylase 1	C
UniProtKB	A1A5K6	tbc1d24	part_of	GO:0098793	presynapse	8355	TBC1 domain family member 24	C
UniProtKB	A1E2I4	MX1	involved_in	GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	9544	Interferon-induced GTP-binding protein Mx1	P
UniProtKB	A1E2I4	MX1	part_of	GO:0098793	presynapse	9544	Interferon-induced GTP-binding protein Mx1	C
UniProtKB	A1E2I5	MX2	involved_in	GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	9544	Interferon-induced GTP-binding protein Mx2	P
UniProtKB	A1E2I5	MX2	part_of	GO:0098793	presynapse	9544	Interferon-induced GTP-binding protein Mx2	C
UniProtKB	A1Z7G7	Cirl	part_of	GO:0008021	synaptic vesicle	7227	Latrophilin Cirl	C
UniProtKB	A1Z7G7	Cirl	involved_in	GO:0007269	neurotransmitter secretion	7227	Latrophilin Cirl	P
UniProtKB	A1Z9S1	Blos1	involved_in	GO:0036466	synaptic vesicle recycling via endosome	7227	Biogenesis of lysosome-related organelles complex 1 subunit 1	P
UniProtKB	A1Z9S1	Blos1	part_of	GO:0098793	presynapse	7227	Biogenesis of lysosome-related organelles complex 1 subunit 1	C
UniProtKB	A1ZBD6	Mctp	part_of	GO:0030672	synaptic vesicle membrane	7227	Multiple C2 and transmembrane domain-containing protein	C
UniProtKB	A2AAE1	Kiaa1109	involved_in	GO:0048488	synaptic vesicle endocytosis	10090	Transmembrane protein KIAA1109	P
UniProtKB	A2AAE1	Kiaa1109	part_of	GO:0098793	presynapse	10090	Transmembrane protein KIAA1109	C
UniProtKB	A2AJT4	Pnisr	part_of	GO:0048786	presynaptic active zone	10090	Arginine/serine-rich protein PNISR	C
UniProtKB	A2AKY4	Znf804a	part_of	GO:0098793	presynapse	10090	Zinc finger protein 804A	C
UniProtKB	A2AKY4	Znf804a	part_of	GO:0098793	presynapse	10090	Zinc finger protein 804A	C
UniProtKB	A2ANU3	Syndig1	involved_in	GO:0097091	synaptic vesicle clustering	10090	Synapse differentiation-inducing gene protein 1	P
UniProtKB	A2ANU3	Syndig1	acts_upstream_of_or_within	GO:0097091	synaptic vesicle clustering	10090	Synapse differentiation-inducing gene protein 1	P
UniProtKB	A2ANU3	Syndig1	involved_in	GO:0097091	synaptic vesicle clustering	10090	Synapse differentiation-inducing gene protein 1	P
UniProtKB	A2ANU3	Syndig1	part_of	GO:0098793	presynapse	10090	Synapse differentiation-inducing gene protein 1	C
UniProtKB	A2ANU3	Syndig1	part_of	GO:0098793	presynapse	10090	Synapse differentiation-inducing gene protein 1	C
UniProtKB	A2ANU3	Syndig1	part_of	GO:0098793	presynapse	10090	Synapse differentiation-inducing gene protein 1	C
UniProtKB	A2APX8	Scn1a	part_of	GO:0099056	integral component of presynaptic membrane	10090	Sodium channel protein type 1 subunit alpha	C
UniProtKB	A2BGU8	septin3	part_of	GO:0099569	presynaptic cytoskeleton	7955	Neuronal-specific septin-3	C
UniProtKB	A2BGU8	septin3	part_of	GO:0098793	presynapse	7955	Neuronal-specific septin-3	C
UniProtKB	A2CG49	Kalrn	part_of	GO:0098793	presynapse	10090	Kalirin	C
UniProtKB	A2Q0Z1	HSPA8	part_of	GO:0099523	presynaptic cytosol	9796	Heat shock cognate 71 kDa protein	C
UniProtKB	A2Q0Z1	HSPA8	part_of	GO:0043195	terminal bouton	9796	Heat shock cognate 71 kDa protein	C
UniProtKB	A2VE58	SYNGR3	part_of	GO:0030672	synaptic vesicle membrane	9913	Synaptogyrin-3	C
UniProtKB	A2VE58	SYNGR3	part_of	GO:0008021	synaptic vesicle	9913	Synaptogyrin-3	C
UniProtKB	A2VE58	SYNGR3	part_of	GO:0008021	synaptic vesicle	9913	Synaptogyrin-3	C
UniProtKB	A2VE58	SYNGR3	part_of	GO:0030672	synaptic vesicle membrane	9913	Synaptogyrin-3	C
UniProtKB	A3KN33	EGFLAM	part_of	GO:0048786	presynaptic active zone	9913	Pikachurin	C
UniProtKB	A4FV27	LAMP5	part_of	GO:0030672	synaptic vesicle membrane	9913	Lysosome-associated membrane glycoprotein 5	C
UniProtKB	A4FV52	SLC17A7	involved_in	GO:0098700	neurotransmitter loading into synaptic vesicle	9913	Vesicular glutamate transporter 1	P
UniProtKB	A4FV52	SLC17A7	part_of	GO:0030285	integral component of synaptic vesicle membrane	9913	Vesicular glutamate transporter 1	C
UniProtKB	A4FV52	SLC17A7	part_of	GO:0030672	synaptic vesicle membrane	9913	Vesicular glutamate transporter 1	C
UniProtKB	A4FV52	SLC17A7	involved_in	GO:0098700	neurotransmitter loading into synaptic vesicle	9913	Vesicular glutamate transporter 1	P
UniProtKB	A4FV52	SLC17A7	involved_in	GO:0097401	synaptic vesicle lumen acidification	9913	Vesicular glutamate transporter 1	P
UniProtKB	A4FV52	SLC17A7	part_of	GO:0008021	synaptic vesicle	9913	Vesicular glutamate transporter 1	C
UniProtKB	A4FV52	SLC17A7	part_of	GO:0048786	presynaptic active zone	9913	Vesicular glutamate transporter 1	C
UniProtKB	A4FV52	SLC17A7	part_of	GO:0030672	synaptic vesicle membrane	9913	Vesicular glutamate transporter 1	C
UniProtKB	A4FV52	SLC17A7	part_of	GO:0030672	synaptic vesicle membrane	9913	Vesicular glutamate transporter 1	C
UniProtKB	A4FV54	RAB8A	part_of	GO:0008021	synaptic vesicle	9913	Ras-related protein Rab-8A	C
UniProtKB	A4GTP4	Elk1	part_of	GO:0043679	axon terminus	10116	ETS domain-containing protein Elk-1	C
UniProtKB	A4IGL3	lamp5	part_of	GO:0030672	synaptic vesicle membrane	8364	Lysosome-associated membrane glycoprotein 5	C
UniProtKB	A4IHB9	slc9b2	part_of	GO:0030672	synaptic vesicle membrane	8364	Sodium/hydrogen exchanger 9B2	C
UniProtKB	A5PJN0	SCGN	part_of	GO:0043195	terminal bouton	9913	Secretagogin	C
UniProtKB	A5PJN0	SCGN	involved_in	GO:0099509	regulation of presynaptic cytosolic calcium ion concentration	9913	Secretagogin	P
UniProtKB	A5PJU9	SEPTIN1	part_of	GO:0008021	synaptic vesicle	9913	Septin-1	C
UniProtKB	A6H7I5	DNM2	involved_in	GO:0016185	synaptic vesicle budding from presynaptic endocytic zone membrane	9913	Dynamin-2	P
UniProtKB	A6H7I5	DNM2	part_of	GO:0098793	presynapse	9913	Dynamin-2	C
UniProtKB	A6QLI1	SLC17A6	involved_in	GO:0098700	neurotransmitter loading into synaptic vesicle	9913	Vesicular glutamate transporter 2	P
UniProtKB	A6QLI1	SLC17A6	part_of	GO:0030285	integral component of synaptic vesicle membrane	9913	Vesicular glutamate transporter 2	C
UniProtKB	A6QLI1	SLC17A6	part_of	GO:0030672	synaptic vesicle membrane	9913	Vesicular glutamate transporter 2	C
UniProtKB	A6QLI1	SLC17A6	involved_in	GO:0098700	neurotransmitter loading into synaptic vesicle	9913	Vesicular glutamate transporter 2	P
